             0            1            2            3            4   \
0      0.000000   692.478449   554.409095   548.552753   543.099607   
1    692.478449     0.000000   306.707577   303.288485   440.401653   
2    554.409095   306.707577     0.000000     7.707625   133.727768   
3    548.552753   303.288485     7.707625     0.000000   137.574803   
4    543.099607   440.401653   133.727768   137.574803     0.000000   
5    709.377681  1299.235277  1040.882736  1039.586691   939.741014   
6    706.313538  1372.526990  1154.077421  1151.129981  1075.249091   
7   1982.949868  2020.348201  1749.946269  1756.441598  1634.046875   
8   1180.453564  1507.576142  1201.026469  1204.294551  1067.594866   
9    943.008336  1160.373169   854.342919   858.385433   720.817087   
10   304.645763   886.036579   654.132077   651.282394   578.384596   
11   332.823275   987.275057   779.617585   776.006457   714.962542   
12  1685.550627  1794.428699  1507.324915  1513.193632  1383.271349   
13   562.758568   634.120482   327.539829   330.833120   194.316970   
14  2167.668000  2849.232359  2629.893458  2627.328192  2542.308483   
15   695.203686  1380.672934  1185.436621  1181.728343  1119.093669   
16  1117.260051  1808.936790  1644.140539  1639.751644  1588.537531   
17  1798.232828  2407.230372  2137.878329  2137.431566  2025.590240   
18  3402.034536  4085.701592  3938.478870  3933.951305  3882.613021   
19  2687.293962  3378.074302  3178.634126  3175.463974  3099.584553   
20  3650.762229  4341.623190  4139.991465  4136.952772  4058.424077   
21  3504.202531  4180.848074  3949.628085  3947.595689  3854.168768   
22  3504.202531  4180.848074  3949.628085  3947.595689  3854.168768   
23  3042.154857  3701.039673  3453.337590  3451.943704  3350.358725   
24  3543.470399  4234.933238  4036.651309  4033.503203  3956.793694   
25  1937.672830  2497.240192  2211.199418  2211.816682  2089.735802   
26  2094.145468  2584.047522  2284.523857  2286.372916  2155.447965   
27  1315.729887  1829.744295  1538.754887  1539.695419  1415.306104   
28  1791.487428  2188.215824  1882.266212  1885.246961  1749.292887   
29  2313.498905  2839.348341  2544.476107  2545.843942  2417.918240   

             5            6            7            8            9   \
0    709.377681   706.313538  1982.949868  1180.453564   943.008336   
1   1299.235277  1372.526990  2020.348201  1507.576142  1160.373169   
2   1040.882736  1154.077421  1749.946269  1201.026469   854.342919   
3   1039.586691  1151.129981  1756.441598  1204.294551   858.385433   
4    939.741014  1075.249091  1634.046875  1067.594866   720.817087   
5      0.000000   267.700414  1647.337249   684.780801   688.777501   
6    267.700414     0.000000  1913.514037   946.486551   948.423454   
7   1647.337249  1913.514037     0.000000   973.032152  1048.809713   
8    684.780801   946.486551   973.032152     0.000000   365.016281   
9    688.777501   948.423454  1048.809713   365.016281     0.000000   
10   424.005545   500.040822  1748.591765   891.485892   700.104667   
11   387.046468   385.398238  1855.555555   959.971827   812.982444   
12  1320.005897  1585.921176   327.774204   645.831844   743.145471   
13   793.082004   962.436250  1484.540213   873.490446   530.439657   
14  1612.558911  1478.829880  2778.913564  1951.471884  2188.369667   
15   393.034157   130.874768  2040.371089  1075.589694  1061.277157   
16   823.768774   569.217696  2432.250324  1460.040162  1512.384936   
17  1109.591415  1112.636897  1973.090893  1217.076297  1514.339787   
18  3034.294424  2826.608410  4357.047732  3495.199031  3684.802414   
19  2184.932284  2025.318274  3362.822569  2548.563904  2781.355748   
20  3135.283693  2985.999216  4172.628056  3440.635218  3702.678119   
21  2914.908554  2808.323090  3766.562913  3118.429960  3413.984349   
22  2914.908554  2808.323090  3766.562913  3118.429960  3413.984349   
23  2412.530993  2336.729888  3188.861415  2561.052815  2868.937467   
24  3037.241226  2883.101032  4106.188640  3357.690596  3613.418040   
25  1229.349917  1291.906226  1789.317344  1160.768664  1498.128846   
26  1392.683544  1513.042778  1557.677311  1129.130280  1491.903263   
27   618.192251   776.533185  1403.060567   541.629487   838.796578   
28  1146.186450  1341.475179  1077.729860   683.807515  1045.814438   
29  1604.503751  1687.845898  1844.168631  1414.984890  1774.178654   

             10           11           12           13           14  \
0    304.645763   332.823275  1685.550627   562.758568  2167.668000   
1    886.036579   987.275057  1794.428699   634.120482  2849.232359   
2    654.132077   779.617585  1507.324915   327.539829  2629.893458   
3    651.282394   776.006457  1513.193632   330.833120  2627.328192   
4    578.384596   714.962542  1383.271349   194.316970  2542.308483   
5    424.005545   387.046468  1320.005897   793.082004  1612.558911   
6    500.040822   385.398238  1585.921176   962.436250  1478.829880   
7   1748.591765  1855.555555   327.774204  1484.540213  2778.913564   
8    891.485892   959.971827   645.831844   873.490446  1951.471884   
9    700.104667   812.982444   743.145471   530.439657  2188.369667   
10     0.000000   147.109135  1437.794377   491.005267  1976.576011   
11   147.109135     0.000000  1538.711084   637.573194  1862.691836   
12  1437.794377  1538.711084     0.000000  1217.647619  2497.100613   
13   491.005267   637.573194  1217.647619     0.000000  2405.327710   
14  1976.576011  1862.691836  2497.100613  2405.327710     0.000000   
15   541.732115   406.003882  1713.024088  1025.182208  1472.466614   
16  1016.444515   874.282298  2105.692181  1504.046747  1125.958342   
17  1531.598107  1465.416074  1703.636727  1855.159962   814.316118   
18  3307.084643  3167.674106  4069.281208  3787.571810  1579.989086   
19  2525.173078  2401.290408  3087.567914  2973.324504   597.098071   
20  3486.039947  3363.825648  3926.154935  3927.058223  1524.106556   
21  3300.693740  3193.643268  3544.940978  3704.014491  1338.796871   
22  3300.693740  3193.643268  3544.940978  3704.014491  1338.796871   
23  2815.160510  2720.014860  2969.861986  3190.595095   942.014997   
24  3383.051022  3259.368211  3854.218598  3827.929002  1429.181209   
25  1650.813642  1608.810138  1549.931139  1907.003033  1066.124451   
26  1793.502673  1779.640152  1365.881273  1963.823856  1415.889687   
27  1015.380386  1003.824989  1098.392330  1230.933510  1416.808668   
28  1487.626565  1512.109836   859.616113  1554.976751  1740.850210   
29  2019.278433  1989.320558  1663.374691  2228.872719  1293.009243   

             15           16           17           18           19  \
0    695.203686  1117.260051  1798.232828  3402.034536  2687.293962   
1   1380.672934  1808.936790  2407.230372  4085.701592  3378.074302   
2   1185.436621  1644.140539  2137.878329  3938.478870  3178.634126   
3   1181.728343  1639.751644  2137.431566  3933.951305  3175.463974   
4   1119.093669  1588.537531  2025.590240  3882.613021  3099.584553   
5    393.034157   823.768774  1109.591415  3034.294424  2184.932284   
6    130.874768   569.217696  1112.636897  2826.608410  2025.318274   
7   2040.371089  2432.250324  1973.090893  4357.047732  3362.822569   
8   1075.589694  1460.040162  1217.076297  3495.199031  2548.563904   
9   1061.277157  1512.384936  1514.339787  3684.802414  2781.355748   
10   541.732115  1016.444515  1531.598107  3307.084643  2525.173078   
11   406.003882   874.282298  1465.416074  3167.674106  2401.290408   
12  1713.024088  2105.692181  1703.636727  4069.281208  3087.567914   
13  1025.182208  1504.046747  1855.159962  3787.571810  2973.324504   
14  1472.466614  1125.958342   814.316118  1579.989086   597.098071   
15     0.000000   480.330145  1179.453388  2765.499660  1999.028744   
16   480.330145     0.000000  1116.133072  2294.920096  1587.925050   
17  1179.453388  1116.133072     0.000000  2393.220303  1389.906991   
18  2765.499660  2294.920096  2393.220303     0.000000  1021.879471   
19  1999.028744  1587.925050  1389.906991  1021.879471     0.000000   
20  2962.315962  2547.587593  2233.025704   862.599487   963.549982   
21  2809.414106  2453.730579  1903.099482  1329.535567   934.712488   
22  2809.414106  2453.730579  1903.099482  1329.535567   934.712488   
23  2355.895168  2058.699252  1354.833776  1618.937158   812.768139   
24  2856.794786  2437.476704  2155.789112   778.125178   858.094710   
25  1379.082911  1387.080697   303.531460  2626.610910  1608.389342   
26  1617.667778  1700.092731   664.911289  2954.818942  1932.993937   
27   896.890928  1126.594978   679.702264  2976.317884  2013.200288   
28  1465.990179  1691.587358   926.637134  3318.463428  2308.252919   
29  1779.291749  1784.840628   674.985861  2770.909848  1753.744970   

             20           21           22           23           24  \
0   3650.762229  3504.202531  3504.202531  3042.154857  3543.470399   
1   4341.623190  4180.848074  4180.848074  3701.039673  4234.933238   
2   4139.991465  3949.628085  3949.628085  3453.337590  4036.651309   
3   4136.952772  3947.595689  3947.595689  3451.943704  4033.503203   
4   4058.424077  3854.168768  3854.168768  3350.358725  3956.793694   
5   3135.283693  2914.908554  2914.908554  2412.530993  3037.241226   
6   2985.999216  2808.323090  2808.323090  2336.729888  2883.101032   
7   4172.628056  3766.562913  3766.562913  3188.861415  4106.188640   
8   3440.635218  3118.429960  3118.429960  2561.052815  3357.690596   
9   3702.678119  3413.984349  3413.984349  2868.937467  3613.418040   
10  3486.039947  3300.693740  3300.693740  2815.160510  3383.051022   
11  3363.825648  3193.643268  3193.643268  2720.014860  3259.368211   
12  3926.154935  3544.940978  3544.940978  2969.861986  3854.218598   
13  3927.058223  3704.014491  3704.014491  3190.595095  3827.929002   
14  1524.106556  1338.796871  1338.796871   942.014997  1429.181209   
15  2962.315962  2809.414106  2809.414106  2355.895168  2856.794786   
16  2547.587593  2453.730579  2453.730579  2058.699252  2437.476704   
17  2233.025704  1903.099482  1903.099482  1354.833776  2155.789112   
