Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
American Airlines Center,Amway Center,"(32.7905076, -96.81027213460834)","(28.53927385, -81.38400713924818)",1549.93113913371
American Airlines Center,Ball Arena,"(32.7905076, -96.81027213460834)","(39.748683799999995, -105.00754401780362)",1066.124450935394
American Airlines Center,Barclays Center,"(32.7905076, -96.81027213460834)","(40.68251055, -73.97525186658912)",2211.1994176464277
American Airlines Center,Capital One Arena,"(32.7905076, -96.81027213460834)","(38.8981883, -77.0209377602636)",1907.0030327361635
American Airlines Center,Chase Center,"(32.7905076, -96.81027213460834)","(37.767892700000004, -122.38740721330376)",2383.417508173972
American Airlines Center,Crypto.com Arena,"(32.7905076, -96.81027213460834)","(34.0429979, -118.2671352463293)",1996.9082063183894
American Airlines Center,Delta Center,"(32.7905076, -96.81027213460834)","(40.76832735, -111.90105507486473)",1608.3893423778677
American Airlines Center,FedExForum,"(32.7905076, -96.81027213460834)","(35.1382401, -90.05069457768097)",676.6452521183619
American Airlines Center,Fiserv Forum,"(32.7905076, -96.81027213460834)","(43.04500955, -87.91748710581575)",1379.082910931079
American Airlines Center,Footprint Center,"(32.7905076, -96.81027213460834)","(33.4460392, -112.07110129629386)",1424.8432188726065
American Airlines Center,Frost Bank Center,"(32.7905076, -96.81027213460834)","(29.4270504, -98.43750706398404)",403.9118592899736
American Airlines Center,Gainbridge Fieldhouse,"(32.7905076, -96.81027213460834)","(39.7639331, -86.15550794973416)",1229.3499173946323
American Airlines Center,Golden 1 Center,"(32.7905076, -96.81027213460834)","(38.58014045, -121.49950076409176)",2317.308593216121
American Airlines Center,Kaseya Center,"(32.7905076, -96.81027213460834)","(25.781359549999998, -80.18794351626137)",1789.3173442525838
American Airlines Center,Little Caesars Arena,"(32.7905076, -96.81027213460834)","(42.3409774, -83.05495452754165)",1608.810137719928
American Airlines Center,Madison Square Garden,"(32.7905076, -96.81027213460834)","(40.750512900000004, -73.99351594545152)",2211.81668240852
American Airlines Center,Moda Center,"(32.7905076, -96.81027213460834)","(45.5315787, -122.66683365218687)",2626.610910497012
American Airlines Center,Paycom Center,"(32.7905076, -96.81027213460834)","(35.46339605, -97.51508150130435)",303.5314602865707
American Airlines Center,Rocket Mortgage FieldHouse,"(32.7905076, -96.81027213460834)","(41.4966862, -81.68857538921003)",1650.8136416687926
American Airlines Center,Scotiabank Arena,"(32.7905076, -96.81027213460834)","(43.64343375, -79.37907772483726)",1937.6728300765428
American Airlines Center,Smoothie King Center,"(32.7905076, -96.81027213460834)","(29.94903925, -90.08206899587637)",713.1989963802357
American Airlines Center,Spectrum Center,"(32.7905076, -96.81027213460834)","(35.225098, -80.83915411814897)",1498.1288460218964
American Airlines Center,State Farm Arena,"(32.7905076, -96.81027213460834)","(33.7573698, -84.39638483503104)",1160.7686639672634
American Airlines Center,Target Center,"(32.7905076, -96.81027213460834)","(44.979512650000004, -93.27609502567992)",1387.0806974800337
American Airlines Center,TD Garden,"(32.7905076, -96.81027213460834)","(42.3662986, -71.06216222263835)",2497.240192342422
American Airlines Center,Toyota Center,"(32.7905076, -96.81027213460834)","(29.75074725, -95.36223151477087)",364.1390826183179
American Airlines Center,United Center,"(32.7905076, -96.81027213460834)","(41.88068305, -87.67418510441388)",1291.90622615916
American Airlines Center,Wells Fargo Center (Philadelphia),"(32.7905076, -96.81027213460834)","(39.901100400000004, -75.17201654615069)",2089.7358022902413
Amway Center,American Airlines Center,"(28.53927385, -81.38400713924818)","(32.7905076, -96.81027213460834)",1549.93113913371
Amway Center,Ball Arena,"(28.53927385, -81.38400713924818)","(39.748683799999995, -105.00754401780362)",2497.1006127289734
Amway Center,Barclays Center,"(28.53927385, -81.38400713924818)","(40.68251055, -73.97525186658912)",1507.3249152881704
Amway Center,Capital One Arena,"(28.53927385, -81.38400713924818)","(38.8981883, -77.0209377602636)",1217.6476188567074
Amway Center,Chase Center,"(28.53927385, -81.38400713924818)","(37.767892700000004, -122.38740721330376)",3926.1549352798925
Amway Center,Crypto.com Arena,"(28.53927385, -81.38400713924818)","(34.0429979, -118.2671352463293)",3544.9409783541337
Amway Center,Delta Center,"(28.53927385, -81.38400713924818)","(40.76832735, -111.90105507486473)",3087.567913870454
Amway Center,FedExForum,"(28.53927385, -81.38400713924818)","(35.1382401, -90.05069457768097)",1098.39232956614
Amway Center,Fiserv Forum,"(28.53927385, -81.38400713924818)","(43.04500955, -87.91748710581575)",1713.024087504747
Amway Center,Footprint Center,"(28.53927385, -81.38400713924818)","(33.4460392, -112.07110129629386)",2969.861986136816
Amway Center,Frost Bank Center,"(28.53927385, -81.38400713924818)","(29.4270504, -98.43750706398404)",1663.3746906077138
Amway Center,Gainbridge Fieldhouse,"(28.53927385, -81.38400713924818)","(39.7639331, -86.15550794973416)",1320.0058969426543
Amway Center,Golden 1 Center,"(28.53927385, -81.38400713924818)","(38.58014045, -121.49950076409176)",3854.218598051807
Amway Center,Kaseya Center,"(28.53927385, -81.38400713924818)","(25.781359549999998, -80.18794351626137)",327.7742041859006
Amway Center,Little Caesars Arena,"(28.53927385, -81.38400713924818)","(42.3409774, -83.05495452754165)",1538.711083957736
Amway Center,Madison Square Garden,"(28.53927385, -81.38400713924818)","(40.750512900000004, -73.99351594545152)",1513.1936319099116
Amway Center,Moda Center,"(28.53927385, -81.38400713924818)","(45.5315787, -122.66683365218687)",4069.2812079361083
Amway Center,Paycom Center,"(28.53927385, -81.38400713924818)","(35.46339605, -97.51508150130435)",1703.6367269266705
Amway Center,Rocket Mortgage FieldHouse,"(28.53927385, -81.38400713924818)","(41.4966862, -81.68857538921003)",1437.7943773913166
Amway Center,Scotiabank Arena,"(28.53927385, -81.38400713924818)","(43.64343375, -79.37907772483726)",1685.5506270343344
Amway Center,Smoothie King Center,"(28.53927385, -81.38400713924818)","(29.94903925, -90.08206899587637)",859.6161134574407
Amway Center,Spectrum Center,"(28.53927385, -81.38400713924818)","(35.225098, -80.83915411814897)",743.1454707822869
Amway Center,State Farm Arena,"(28.53927385, -81.38400713924818)","(33.7573698, -84.39638483503104)",645.8318443734362
Amway Center,Target Center,"(28.53927385, -81.38400713924818)","(44.979512650000004, -93.27609502567992)",2105.6921807897784
Amway Center,TD Garden,"(28.53927385, -81.38400713924818)","(42.3662986, -71.06216222263835)",1794.4286985359838
Amway Center,Toyota Center,"(28.53927385, -81.38400713924818)","(29.75074725, -95.36223151477087)",1365.8812727718462
Amway Center,United Center,"(28.53927385, -81.38400713924818)","(41.88068305, -87.67418510441388)",1585.921176356087
Amway Center,Wells Fargo Center (Philadelphia),"(28.53927385, -81.38400713924818)","(39.901100400000004, -75.17201654615069)",1383.2713489353614
Ball Arena,American Airlines Center,"(39.748683799999995, -105.00754401780362)","(32.7905076, -96.81027213460834)",1066.124450935394
Ball Arena,Amway Center,"(39.748683799999995, -105.00754401780362)","(28.53927385, -81.38400713924818)",2497.1006127289734
Ball Arena,Barclays Center,"(39.748683799999995, -105.00754401780362)","(40.68251055, -73.97525186658912)",2629.8934578259727
Ball Arena,Capital One Arena,"(39.748683799999995, -105.00754401780362)","(38.8981883, -77.0209377602636)",2405.327710017166
Ball Arena,Chase Center,"(39.748683799999995, -105.00754401780362)","(37.767892700000004, -122.38740721330376)",1524.106555795979
Ball Arena,Crypto.com Arena,"(39.748683799999995, -105.00754401780362)","(34.0429979, -118.2671352463293)",1338.796870599204
Ball Arena,Delta Center,"(39.748683799999995, -105.00754401780362)","(40.76832735, -111.90105507486473)",597.0980712878223
Ball Arena,FedExForum,"(39.748683799999995, -105.00754401780362)","(35.1382401, -90.05069457768097)",1416.8086678718005
Ball Arena,Fiserv Forum,"(39.748683799999995, -105.00754401780362)","(43.04500955, -87.91748710581575)",1472.4666135088562
Ball Arena,Footprint Center,"(39.748683799999995, -105.00754401780362)","(33.4460392, -112.07110129629386)",942.0149974961048
Ball Arena,Frost Bank Center,"(39.748683799999995, -105.00754401780362)","(29.4270504, -98.43750706398404)",1293.009242896298
Ball Arena,Gainbridge Fieldhouse,"(39.748683799999995, -105.00754401780362)","(39.7639331, -86.15550794973416)",1612.558910658381
